en,ru-RU,zh-CN,zh-TW,ja,ko,fr
#Restart program to apply translation,,,,,,
#This is comment line,,,,,,
#Always keep language name at head of file,,,,,,
#Language name is output in log,,,,,,
"#You can find it by search ""Current language is:""",,,,,,
#Please use UTF-8 with BOM encoding so we can edit it in Excel,,,,,,
shadowsocks-reborn,shadowsocks-reborn,shadowsocks-reborn,shadowsocks-reborn,shadowsocks-reborn,shadowsocks-reborn,shadowsocks-reborn
#Menu,,,,,,
System Proxy,Системный прокси-сервер,系统代理,系統代理,システムプロキシ,시스템 프록시,Proxy système
Disable,Отключен,禁用,禁用,無効,비활성화,Désactiver
PAC,Сценарий настройки (PAC),PAC 模式,PAC 模式,PACモード,프록시 자동 구성 (PAC),PAC
Global,Для всей системы,全局模式,全局模式,グローバルプロキシ,전역,Global
Servers,Серверы,服务器,伺服器,サーバー,서버,Serveurs
More than 20 servers (total: {0}),Более 20 серверов (всего: {0}),超过 20 个服务器（共 {0} 个）,超過 20 個伺服器（共 {0} 個）,20 台を超えるサーバー（合計: {0}）,서버 20개 초과 (총 {0}개),Plus de 20 serveurs (total : {0})
... more than {0} (total {1}),... показано {0} из {1},… 另有超过 {0} 个（共 {1} 个）,… 另有超過 {0} 個（共 {1} 個）,… さらに {0} 件以上（合計 {1} 件）,… {0}개 이상 추가(총 {1}개),… plus de {0} autres (total {1})
Online Config,Онлайн-конфигурации,在线配置,線上配置,オンライン設定,온라인 구성,Configuration en ligne
Start on Boot,Автозагрузка,开机启动,開機啟動,システム起動時に実行,시스템 시작 시에 시작하기,Démarrage automatique
Associate ss:// Links,Ассоциированный ss:// Ссылки,关联 ss:// 链接,關聯 ss:// 鏈接,ss:// リンクの関連付け,ss:// 링크 연결,Associer les liens ss://
Forward Proxy,Прямой прокси,正向代理设置,正向 Proxy 設定,フォワードプロキシの設定,포워드 프록시,Forward-proxy
Local PAC,Локальный PAC,使用本地 PAC,使用本機 PAC,ローカル PAC,로컬 프록시 자동 구성,PAC local
